( 0.75   -2.0000 0 ) 
( 0.75   -1.9800 0 )
( 0.75   -1.9600 0 )
( 0.75   -1.9400 0 )
( 0.75   -1.9200 0 )
( 0.75   -1.9000 0 )
( 0.75   -1.8800 0 )
( 0.75   -1.8600 0 )
( 0.75   -1.8400 0 )
( 0.75   -1.8200 0 )
( 0.75   -1.8000 0 )
( 0.75   -1.7800 0 )
( 0.75   -1.7600 0 )
( 0.75   -1.7400 0 )
( 0.75   -1.7200 0 )
( 0.75   -1.7000 0 )
( 0.75   -1.6800 0 )
( 0.75   -1.6600 0 )
( 0.75   -1.6400 0 )
( 0.75   -1.6200 0 )
( 0.75   -1.6000 0 )
( 0.75   -1.5800 0 )
( 0.75   -1.5600 0 )
( 0.75   -1.5400 0 )
( 0.75   -1.5200 0 )
( 0.75   -1.5000 0 )
( 0.75   -1.4800 0 )
( 0.75   -1.4600 0 )
( 0.75   -1.4400 0 )
( 0.75   -1.4200 0 )
( 0.75   -1.4000 0 )
( 0.75   -1.3800 0 )
( 0.75   -1.3600 0 )
( 0.75   -1.3400 0 )
( 0.75   -1.3200 0 )
( 0.75   -1.3000 0 )
( 0.75   -1.2800 0 )
( 0.75   -1.2600 0 )
( 0.75   -1.2400 0 )
( 0.75   -1.2200 0 )
( 0.75   -1.2000 0 )
( 0.75   -1.1800 0 )
( 0.75   -1.1600 0 )
( 0.75   -1.1400 0 )
( 0.75   -1.1200 0 )
( 0.75   -1.1000 0 )
( 0.75   -1.0800 0 )
( 0.75   -1.0600 0 )
( 0.75   -1.0400 0 )
( 0.75   -1.0200 0 )
( 0.75   -1.0000 0 )
( 0.75   -0.9800 0 )
( 0.75   -0.9600 0 )
( 0.75   -0.9400 0 )
( 0.75   -0.9200 0 )
( 0.75   -0.9000 0 )
( 0.75   -0.8800 0 )
( 0.75   -0.8600 0 )
( 0.75   -0.8400 0 )
( 0.75   -0.8200 0 )
( 0.75   -0.8000 0 )
( 0.75   -0.7800 0 )
( 0.75   -0.7600 0 )
( 0.75   -0.7400 0 )
( 0.75   -0.7200 0 )
( 0.75   -0.7000 0 )
( 0.75   -0.6800 0 )
( 0.75   -0.6600 0 )
( 0.75   -0.6400 0 )
( 0.75   -0.6200 0 )
( 0.75   -0.6000 0 )
( 0.75   -0.5800 0 )
( 0.75   -0.5600 0 )
( 0.75   -0.5400 0 )
( 0.75   -0.5200 0 )
( 0.75   -0.5000 0 )
( 0.75   -0.4800 0 )
( 0.75   -0.4600 0 )
( 0.75   -0.4400 0 )
( 0.75   -0.4200 0 )
( 0.75   -0.4000 0 )
( 0.75   -0.3918 0 )
( 0.75   -0.3837 0 )
( 0.75   -0.3755 0 )
( 0.75   -0.3673 0 )
( 0.75   -0.3592 0 )
( 0.75   -0.3510 0 )
( 0.75   -0.3429 0 )
( 0.75   -0.3347 0 )
( 0.75   -0.3265 0 )
( 0.75   -0.3184 0 )
( 0.75   -0.3102 0 )
( 0.75   -0.3020 0 )
( 0.75   -0.2939 0 )
( 0.75   -0.2857 0 )
( 0.75   -0.2776 0 )
( 0.75   -0.2694 0 )
( 0.75   -0.2612 0 )
( 0.75   -0.2531 0 )
( 0.75   -0.2449 0 )
( 0.75   -0.2367 0 )
( 0.75   -0.2286 0 )
( 0.75   -0.2204 0 )
( 0.75   -0.2122 0 )
( 0.75   -0.2041 0 )
( 0.75   -0.1959 0 )
( 0.75   -0.1878 0 )
( 0.75   -0.1796 0 )
( 0.75   -0.1714 0 )
( 0.75   -0.1633 0 )
( 0.75   -0.1551 0 )
( 0.75   -0.1469 0 )
( 0.75   -0.1388 0 )
( 0.75   -0.1306 0 )
( 0.75   -0.1224 0 )
( 0.75   -0.1143 0 )
( 0.75   -0.1061 0 )
( 0.75   -0.0980 0 )
( 0.75   -0.0898 0 )
( 0.75   -0.0816 0 )
( 0.75   -0.0735 0 )
( 0.75   -0.0653 0 )
( 0.75   -0.0571 0 )
( 0.75   -0.0490 0 )
( 0.75   -0.0408 0 )
( 0.75   -0.0327 0 )
( 0.75   -0.0245 0 )
( 0.75   -0.0163 0 )
( 0.75   -0.0082 0 )
( 0.75         0 0 )
( 0.75    0.0082 0 )
( 0.75    0.0163 0 )
( 0.75    0.0245 0 )
( 0.75    0.0327 0 )
( 0.75    0.0408 0 )
( 0.75    0.0490 0 )
( 0.75    0.0571 0 )
( 0.75    0.0653 0 )
( 0.75    0.0735 0 )
( 0.75    0.0816 0 )
( 0.75    0.0898 0 )
( 0.75    0.0980 0 )
( 0.75    0.1061 0 )
( 0.75    0.1143 0 )
( 0.75    0.1224 0 )
( 0.75    0.1306 0 )
( 0.75    0.1388 0 )
( 0.75    0.1469 0 )
( 0.75    0.1551 0 )
( 0.75    0.1633 0 )
( 0.75    0.1714 0 )
( 0.75    0.1796 0 )
( 0.75    0.1878 0 )
( 0.75    0.1959 0 )
( 0.75    0.2041 0 )
( 0.75    0.2122 0 )
( 0.75    0.2204 0 )
( 0.75    0.2286 0 )
( 0.75    0.2367 0 )
( 0.75    0.2449 0 )
( 0.75    0.2531 0 )
( 0.75    0.2612 0 )
( 0.75    0.2694 0 )
( 0.75    0.2776 0 )
( 0.75    0.2857 0 )
( 0.75    0.2939 0 )
( 0.75    0.3020 0 )
( 0.75    0.3102 0 )
( 0.75    0.3184 0 )
( 0.75    0.3265 0 )
( 0.75    0.3347 0 )
( 0.75    0.3429 0 )
( 0.75    0.3510 0 )
( 0.75    0.3592 0 )
( 0.75    0.3673 0 )
( 0.75    0.3755 0 )
( 0.75    0.3837 0 )
( 0.75    0.3918 0 )
( 0.75    0.4000 0 )
( 0.75    0.4200 0 )
( 0.75    0.4400 0 )
( 0.75    0.4600 0 )
( 0.75    0.4800 0 )
( 0.75    0.5000 0 )
( 0.75    0.5200 0 )
( 0.75    0.5400 0 )
( 0.75    0.5600 0 )
( 0.75    0.5800 0 )
( 0.75    0.6000 0 )
( 0.75    0.6200 0 )
( 0.75    0.6400 0 )
( 0.75    0.6600 0 )
( 0.75    0.6800 0 )
( 0.75    0.7000 0 )
( 0.75    0.7200 0 )
( 0.75    0.7400 0 )
